,index,Link,LCP_m,LCP_o,INP_m,INP_o,FCP_m,FCP_o,TTF_m,TTF_o,CLS_m,CLS_o,FID_m,FID_o
64,64,https://www.sportbusiness.com/,3.6 s,2.6 s,161 ms,42 ms,3.5 s,2.4 s,1.8 s,1.6 s,0.05,0.03,16 ms,3 ms
65,65,https://www.sportico.com/,1.8 s,1.6 s,204 ms,74 ms,1.6 s,1.4 s,0.7 s,0.8 s,0.05,0.27,22 ms,6 ms
66,66,https://www.sportsnet.ca/,2.4 s,2.8 s,127 ms,72 ms,1.3 s,1.2 s,0.5 s,0.3 s,0.23,0.28,14 ms,3 ms
67,67,https://www.sportspromedia.com/,2.5 s,2 s,166 ms,43 ms,2.5 s,1.9 s,1 s,1 s,0.11,0.07,24 ms,7 ms
68,68,https://www.superdeporte.es/,2.2 s,2 s,348 ms,139 ms,1.9 s,1.4 s,0.3 s,0.3 s,0.08,0.24,50 ms,7 ms
69,69,https://www.surfer.com/,2.2 s,1.8 s,199 ms,93 ms,1.6 s,1.2 s,0.5 s,0.6 s,0.08,0.06,24 ms,5 ms
70,70,https://www.swimmingworldmagazine.com/,3.1 s,3.1 s,219 ms,99 ms,3 s,2.9 s,1 s,1.3 s,0.05,0.16,28 ms,5 ms
71,71,https://www.tennis.com/,2.6 s,1.8 s,142 ms,58 ms,1.8 s,1.2 s,0.8 s,0.6 s,0.08,0.2,16 ms,3 ms
72,72,https://www.tennischannel.com/,6.8 s,7.5 s,237 ms,144 ms,5.4 s,4.9 s,1 s,1.2 s,0.97,0.64,221 ms,3 ms
73,73,https://www.theguardian.com/uk/sport,1 s,0.9 s,189 ms,87 ms,0.8 s,0.6 s,0.3 s,0.2 s,0.04,0.09,18 ms,4 ms
74,74,https://www.triathlete.com/,3.1 s,2.6 s,102 ms,47 ms,2.7 s,2.1 s,1.5 s,1.3 s,0.05,0.04,16 ms,3 ms
75,75,https://www.triathlon.org/,2.8 s,3 s,129 ms,41 ms,2.7 s,2.9 s,2.4 s,2.6 s,0.01,0.01,13 ms,2 ms
76,76,https://www.ufc.com/,1.5 s,1 s,204 ms,62 ms,1.2 s,0.8 s,0.5 s,0.4 s,0.05,0.05,15 ms,2 ms
77,77,https://www.usatoday.com/sports/,2.3 s,1.8 s,155 ms,90 ms,1.1 s,0.8 s,0.4 s,0.3 s,0.01,0.06,42 ms,5 ms
78,78,https://www.world.rugby/,3.7 s,2.7 s,188 ms,55 ms,2.6 s,2 s,1.4 s,1.2 s,0.01,0.07,16 ms,3 ms
79,79,https://www.worldathletics.org/,2.5 s,2.3 s,176 ms,63 ms,2.1 s,1.9 s,1.6 s,1.5 s,0.26,0.13,16 ms,2 ms
80,80,https://www.worldskate.org/,3.8 s,4.6 s,92 ms,34 ms,4.4 s,4.4 s,1 s,1.1 s,0,0.26,12 ms,2 ms
81,81,https://www.worldsquash.org/,2.9 s,2.7 s,141 ms,42 ms,2.8 s,2.5 s,1.8 s,1.7 s,0.01,0.02,12 ms,2 ms
82,82,https://www.worldsurfleague.com/,3.2 s,3.4 s,346 ms,153 ms,2.7 s,2.6 s,1.8 s,1.8 s,0.09,0.89,74 ms,7 ms
83,83,https://fcbusiness.co.uk/,,,,,,,,,,,,
84,84,https://www.eurosport.com/,1.9 s,1.4 s,401 ms,75 ms,1.6 s,1.1 s,0.8 s,0.7 s,0.09,0.02,22 ms,3 ms
85,85,https://www.forbes.com/,1.7 s,1.8 s,214 ms,116 ms,1.4 s,1.6 s,0.7 s,1.1 s,0.03,0.08,31 ms,9 ms
86,86,https://www.isportconnect.com/,,2.5 s,,37 ms,,2.2 s,,1.6 s,,0,,2 ms
87,87,https://www.mmafighting.com/,1.9 s,1.6 s,286 ms,116 ms,1.7 s,1.2 s,0.7 s,0.6 s,0.3,0.2,32 ms,4 ms
88,88,https://www.n3xtsports.com/,,,,,,,,,,,,
89,89,https://www.sportcal.com/,,,,,,,,,,,,
