Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA,LCP_m(s),LCP_o(s),INP_m(ms),INP_o(ms),FCP_m(s),FCP_o(s),TTF_m(s),TTF_o(s),CLS_m,CLS_o,FID_m(ms),FID_o(ms)
https://www.fina.org/,2,0,14,128,2,0,15,22,True,3,True,False,4,255.703125,485,False,FALSE,1.6,1.4,124.0,47.0,1.4,1.3,1.1,1.0,0.13,0.11,13.0,3.0
https://www.swimmingworldmagazine.com/,14,0,30,167,0,0,11,0,True,1,False,False,6,61.1044921875,949,False,FALSE,3.1,3.1,219.0,99.0,3.0,2.9,1.0,1.3,0.05,0.16,28.0,5.0
https://www.sportbusiness.com/,26,0,75,109,5,0,8,25,True,1,True,False,17,123.044921875,537,True,FALSE,3.6,2.6,161.0,42.0,3.5,2.4,1.8,1.6,0.05,0.03,16.0,3.0
https://www.sport.es/es/,204,0,62,1056,2,1,182,0,True,102,True,True,52,590.9501953125,3319,False,FALSE,2.4,1.7,464.0,149.0,2.0,1.2,0.3,0.2,0.08,0.12,72.0,10.0
https://soccerex.com/,28,0,30,57,5,6,5,0,True,24,False,False,24,611.4853515625,857,False,FALSE,6.1,5.2,433.0,63.0,4.3,4.3,3.2,3.3,0.38,0.19,18.0,4.0
https://www.worldathletics.org/,38,0,43,82,2,17,0,2,True,26,True,True,2,1592.794921875,262,False,FALSE,2.5,2.3,176.0,63.0,2.1,1.9,1.6,1.5,0.26,0.13,16.0,2.0
https://www.eldesmarque.com/,55,0,67,458,2,1,113,2,True,7,True,False,49,311.6650390625,2447,False,FALSE,2.1,2.4,352.0,107.0,1.8,2.0,0.6,0.9,0.03,0.12,55.0,4.0
https://www.ijf.org/,28,0,39,175,2,0,0,0,True,5,True,True,9,105.4345703125,561,True,FALSE,1.0,0.8,98.0,40.0,0.9,0.8,0.6,0.6,0.0,0.01,14.0,2.0
https://www.redbull.com/,38,0,37,50,2,1,1,0,True,60,True,False,8,788.6337890625,334,False,FALSE,2.4,1.8,295.0,111.0,1.8,1.3,0.8,0.6,0.05,0.06,17.0,2.0
https://usagym.org/,45,0,16,216,0,0,4,13,True,9,True,False,14,94.2919921875,802,True,FALSE,1.2,1.2,64.0,41.0,1.2,0.9,0.5,0.6,0.0,0.01,10.0,3.0
